[2025-01-29 14:43:07,500] INFO - Test
[2025-01-31 12:30:16,774] INFO - Folder is deleted
[2025-01-31 12:30:18,856] INFO - YandexDisk delete_folder() success Final_paper
[2025-01-31 12:30:19,342] INFO - Folder created
[2025-01-31 12:30:19,342] INFO - Picture name kept the same
[2025-01-31 12:30:19,673] ERROR - Status code is not equal 202
[2025-01-31 12:30:19,674] INFO - Program did not end successfully
[2025-01-31 12:30:27,664] INFO - Test
[2025-01-31 12:30:27,665] INFO - 
[2025-01-31 12:30:27,665] INFO - Pictures are in a gotten from VK profile
[2025-01-31 12:30:27,844] INFO - Folder is deleted
[2025-01-31 12:30:29,294] INFO - Folder created
[2025-01-31 12:30:29,295] INFO - Picture name kept the same
[2025-01-31 12:30:29,874] INFO - Picture name kept the same
[2025-01-31 12:30:30,679] INFO - Picture name kept the same
[2025-01-31 12:30:31,201] INFO - Picture name kept the same
[2025-01-31 12:30:31,773] INFO - Picture name kept the same
[2025-01-31 12:30:32,141] INFO - Original name kept
[2025-01-31 12:30:32,141] INFO - Original name kept
[2025-01-31 12:30:32,141] INFO - Original name kept
[2025-01-31 12:30:32,141] INFO - Original name kept
[2025-01-31 12:30:32,141] INFO - Original name kept
[2025-01-31 12:30:32,142] INFO - Program ended successfully
